@relation master

@attribute Title string
@attribute Major {1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,99.0,26.0,27.0}
@attribute Subtopic numeric

@data
'to require any amounts appropriated for members representational allowances for the house of representatives for a fiscal year that remain after all payments are made from such allowances for the year to be deposited in the treasury and used f',1.0,100
'to provide for a tax reduction in the case of low economic growth',1.0,100
'to amend the internal revenue code of 1986 to provide for economic growth by providing tax relief',1.0,100
'to spur job growth by reducing individual capital gains rates and to make permanent the economic growth and tax relief act of 2001',1.0,100
'to increase the assistance made available under certain economic development programs',1.0,100
'to amend the internal revenue code of 1986 to provide tax and other incentives to maintain a vibrant travel and tourism industry to keep working people working and to stimulate economic growth and for other purposes',1.0,100
'to provide a shortterm enhanced safety net for americans losing their jobs and to provide our nations economy with a necessary boost',1.0,100
'to amend the internal revenue code of 1986 to provide for economic recovery',1.0,100
'to amend the internal revenue code of 1986 to provide tax incentives for economic recovery and to provide assistance to displaced workers',1.0,100
'to establish a living wage jobs for all policy for all peoples in the united states and its territories and for other purposes',1.0,100
'to amend the internal revenue code of 1986 to stimulate economic development by enhancing the availability and benefits of small issue bonds',1.0,100
'to prohibit the secretary of the treasury from using surplus funds to make any investment in securities other than government and municipal securities',1.0,104
'to authorize the secretary of the treasury to issue freedom bonds in response to the september 11 2001 hijackings and attacks on the pentagon and the world trade center and for other purposes',1.0,104
'to authorize the issuance of victory bonds in response to the acts of terrorism perpetrated against the united states on september 11 2001 and for other purposes',1.0,104
'to provide for creation of a counterterrorism trust fund to provide for the issuance of freedom bonds to allow taxpayers to contribute income tax refunds and other amounts to support counterterrorism efforts and for other purposes',1.0,104
'to authorize the issuance of united states defense of freedom bonds to aid in funding of the war against terrorism and for other purposes',1.0,104
'to authorize the secretary of the treasury to issue 21st century independence savings bonds',1.0,104
'to provide for the distribution of assets frozen pursuant to executive order 13224 and similar executive orders to the state of new york the state of pennsylvania and the department of defense to cover cleanup and reconstruction costs associa',1.0,104
'to amend title 31 united states code to limit the use by the president and the secretary of the treasury of the exchange stabilization fund to buy or sell gold without congressional approval and for other purposes',1.0,104
'to abolish the board of governors of the federal reserve system and the federal reserve banks to repeal the federal reserve act and for other purposes',1.0,104
'proposing an amendment to the constitution to provide for a balanced budget for the united states government and for greater accountability in the enactment of tax legislation',1.0,105
'to protect the social security system and to amend the congressional budget act of 1974 to require a twothirds vote for legislation that changes the discretionary spending limits or the payasyougo provisions of the balanced budget and emerg',1.0,105
