vote,subtopic1,subtopic2,subtopic3,topic1,topic2,topic3,anom
111 Congress:s1023:211:2009-06-22,NONE,NONE,NONE,NONE,NONE,NONE,no
111 Congress:s1390:237:2009-07-22,"Law, Crime, and Family Issues:Police, Fire, and Weapons Control",NONE,NONE,"Law, Crime, and Family Issues",NONE,NONE,yes
111 Congress:s1390:239:2009-07-22,Government Operations:Government Property Management,NONE,NONE,Government Operations,NONE,NONE,yes
111 Congress:s1390:241:2009-07-23,"Foreign Trade:International Private Business Investments, Overseas Private Investment Corporation (OPIC)",NONE,NONE,Foreign Trade,NONE,NONE,yes
111 Congress:s160:72:2009-02-26,Education:Elementary and Secondary Education,NONE,NONE,Education,NONE,NONE,yes
111 Congress:s1776:325:2009-10-21,Health:Provider and insurer payment and regulation,NONE,NONE,Health,NONE,NONE,yes
111 Congress:s1963:351:2009-11-19,"Health:Long-term care, home health, terminally ill, and rehabilitation services",NONE,NONE,Health,NONE,NONE,yes
111 Congress:s3217:136:2010-05-06,"Banking, Finance, and Domestic Commerce:U.S. Banking System and Financial Institution Regulation",NONE,NONE,"Banking, Finance, and Domestic Commerce",NONE,NONE,yes
111 Congress:s3217:140:2010-05-11,Energy:Nuclear Energy and Nuclear Regulatory Commission Issues,NONE,NONE,Energy,NONE,NONE,yes
111 Congress:s3217:142:2010-05-12,"Banking, Finance, and Domestic Commerce:Consumer Finance, Mortgages, and Credit Cards",NONE,NONE,"Banking, Finance, and Domestic Commerce",NONE,NONE,yes
111 Congress:s3217:146:2010-05-13,Education:Higher Education,NONE,NONE,Education,NONE,NONE,yes
111 Congress:s3217:147:2010-05-13,"Macroeconomics:Taxation, Tax policy, and Tax Reform",NONE,NONE,Macroeconomics,NONE,NONE,yes
111 Congress:s3217:149:2010-05-13,"Banking, Finance, and Domestic Commerce:Small Business Issues and the Small Business Administration",NONE,NONE,"Banking, Finance, and Domestic Commerce",NONE,NONE,yes
111 Congress:s3217:151:2010-05-17,Community Development and Housing Issues:Secondary Mortgage Market,NONE,NONE,Community Development and Housing Issues,NONE,NONE,yes
111 Congress:s3217:153:2010-05-18,Government Operations:Government Property Management,NONE,NONE,Government Operations,NONE,NONE,yes
111 Congress:s3217:154:2010-05-18,"Public Lands and Water Management:Natural Resources, Public Lands, and Forest Management",NONE,NONE,Public Lands and Water Management,NONE,NONE,yes
111 Congress:s3217:156:2010-05-18,"Banking, Finance, and Domestic Commerce:Consumer Safety and Consumer Fraud",NONE,NONE,"Banking, Finance, and Domestic Commerce",NONE,NONE,yes
111 Congress:s3217:159:2010-05-19,"Banking, Finance, and Domestic Commerce:Consumer Finance, Mortgages, and Credit Cards",NONE,NONE,"Banking, Finance, and Domestic Commerce",NONE,NONE,yes
111 Congress:s510:255:2010-11-30,NONE,NONE,NONE,NONE,NONE,NONE,yes
111 Congress:s896:176:2009-05-04,NONE,NONE,NONE,NONE,NONE,NONE,yes
111 Congress:s896:183:2009-05-06,Environment:Land and Water Conservation,NONE,NONE,Environment,NONE,NONE,yes
111 Congress:sc13:120:2009-04-01,Macroeconomics:National Budget and Debt,NONE,NONE,Macroeconomics,NONE,NONE,yes
111 Congress:sc13:124:2009-04-01,Macroeconomics:National Budget and Debt,NONE,NONE,Macroeconomics,NONE,NONE,yes
111 Congress:sc13:126:2009-04-01,"Government Operations:Government Employee Benefits, Civil Service Issues",NONE,NONE,Government Operations,NONE,NONE,yes
111 Congress:sc13:131:2009-04-02,"Banking, Finance, and Domestic Commerce:U.S. Banking System and Financial Institution Regulation",NONE,NONE,"Banking, Finance, and Domestic Commerce",NONE,NONE,yes
111 Congress:sc13:135:2009-04-02,Energy:Electricity and Hydroelectricity,NONE,NONE,Energy,NONE,NONE,yes
111 Congress:sc13:142:2009-04-02,Environment:Indoor Environmental Hazards,NONE,NONE,Environment,NONE,NONE,yes
111 Congress:sc13:144:2009-04-02,Government Operations:Government Efficiency and Bureaucratic Oversight,NONE,NONE,Government Operations,NONE,NONE,yes
111 Congress:sc13:145:2009-04-02,Macroeconomics:National Budget and Debt,NONE,NONE,Macroeconomics,NONE,NONE,yes
111 Congress:sc13:150:2009-04-02,NONE,NONE,NONE,NONE,NONE,NONE,yes
111 Congress:sc13:154:2009-04-02,Macroeconomics:National Budget and Debt,NONE,NONE,Macroeconomics,NONE,NONE,yes
111 Congress:sc13:173:2009-04-29,Macroeconomics:National Budget and Debt,NONE,NONE,Macroeconomics,NONE,NONE,yes
