vote,subtopic1,subtopic2,subtopic3,topic1,topic2,topic3,anom
111 Congress:s1023:211:2009-06-22,NONE,NONE,NONE,NONE,NONE,NONE,no
111 Congress:s1390:240:2009-07-23,Environment:Species and Forest Protection,NONE,NONE,Environment,NONE,NONE,yes
111 Congress:s160:65:2009-02-24,Government Operations:District of Columbia Affairs,NONE,NONE,Government Operations,NONE,NONE,yes
111 Congress:s160:73:2009-02-26,Government Operations:District of Columbia Affairs,NONE,NONE,Government Operations,NONE,NONE,yes
111 Congress:s3217:131:2010-05-05,Health:Comprehensive health care reform,NONE,NONE,Health,NONE,NONE,yes
111 Congress:s3985:267:2010-12-08,Social Welfare:Elderly Issues and Elderly Assistance Programs (Including Social Security Administration),NONE,NONE,Social Welfare,NONE,NONE,yes
111 Congress:sc13:151:2009-04-02,"Banking, Finance, and Domestic Commerce:Consumer Safety and Consumer Fraud",NONE,NONE,"Banking, Finance, and Domestic Commerce",NONE,NONE,yes
111 Congress:h1256:204:2009-06-08,NONE,NONE,NONE,NONE,NONE,NONE,yes
111 Congress:h1256:205:2009-06-09,NONE,NONE,NONE,NONE,NONE,NONE,yes
111 Congress:h1256:206:2009-06-10,Agriculture:Food Inspection and Safety (including seafood),NONE,NONE,Agriculture,NONE,NONE,yes
111 Congress:h2647:327:2009-10-22,Defense:General,NONE,NONE,Defense,NONE,NONE,yes
111 Congress:h2847:336:2009-11-05,Education:Educational Excellence,NONE,NONE,Education,NONE,NONE,yes
111 Congress:h2997:260:2009-08-04,"Agriculture:Government Subsidies to Farmers and Ranchers, Agricultural Disaster Insurance",NONE,NONE,Agriculture,NONE,NONE,yes
111 Congress:h3326:310:2009-10-06,"Defense:Military Nuclear and Hazardous Waste Disposal, Military Environmental Compliance",NONE,NONE,Defense,NONE,NONE,yes
111 Congress:h4213:41:2010-03-04,Government Operations:Intergovernmental Relations,NONE,NONE,Government Operations,NONE,NONE,yes
111 Congress:s1147:124:2010-03-17,"Law, Crime, and Family Issues:Police, Fire, and Weapons Control",NONE,NONE,"Law, Crime, and Family Issues",NONE,NONE,no
111 Congress:s1390:231:2009-07-16,"Government Operations:Regulation of Political Campaigns, Political Advertising, PAC regulation, Voter Registration, Government Ethics",NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:s1390:233:2009-07-16,Public Lands and Water Management:Native American Affairs,NONE,NONE,Public Lands and Water Management,NONE,NONE,no
111 Congress:s1390:235:2009-07-21,Defense:Direct War Related Issues,NONE,NONE,Defense,NONE,NONE,no
111 Congress:s1390:236:2009-07-21,Defense:General,NONE,NONE,Defense,NONE,NONE,no
111 Congress:s1390:237:2009-07-22,"Law, Crime, and Family Issues:Police, Fire, and Weapons Control",NONE,NONE,"Law, Crime, and Family Issues",NONE,NONE,no
111 Congress:s1390:238:2009-07-22,Government Operations:Government Property Management,NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:s1390:239:2009-07-22,Government Operations:Government Property Management,NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:s1390:241:2009-07-23,"Foreign Trade:International Private Business Investments, Overseas Private Investment Corporation (OPIC)",NONE,NONE,Foreign Trade,NONE,NONE,no
111 Congress:s1390:242:2009-07-23,Defense:General,NONE,NONE,Defense,NONE,NONE,no
111 Congress:s160:69:2009-02-26,Government Operations:District of Columbia Affairs,NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:s160:70:2009-02-26,"Space, Science, Technology and Communications:Broadcast Industry Regulation (TV, Cable, Radio)",NONE,NONE,"Space, Science, Technology and Communications",NONE,NONE,no
111 Congress:s160:72:2009-02-26,Education:Elementary and Secondary Education,NONE,NONE,Education,NONE,NONE,no
111 Congress:s1776:325:2009-10-21,Health:Provider and insurer payment and regulation,NONE,NONE,Health,NONE,NONE,no
111 Congress:s181:10:2009-01-22,NONE,NONE,NONE,NONE,NONE,NONE,no
111 Congress:s181:12:2009-01-22,"Labor, Employment, and Immigration:Immigration and Refugee Issues",NONE,NONE,"Labor, Employment, and Immigration",NONE,NONE,no
