vote,subtopic1,subtopic2,subtopic3,topic1,topic2,topic3,anom
111 Congress:h4213:943:2009-12-09,"Labor, Employment, and Immigration:Employee Benefits",NONE,NONE,"Labor, Employment, and Immigration",NONE,NONE,no
111 Congress:h4213:324:2010-05-28,"Labor, Employment, and Immigration:Employee Benefits",NONE,NONE,"Labor, Employment, and Immigration",NONE,NONE,no
111 Congress:h4213:325:2010-05-28,"Government Operations:Regulation of Political Campaigns, Political Advertising, PAC regulation, Voter Registration, Government Ethics",NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:h4213:463:2010-07-22,"Labor, Employment, and Immigration:Employee Benefits",NONE,NONE,"Labor, Employment, and Immigration",NONE,NONE,no
111 Congress:h4247:81:2010-03-03,"Government Operations:Currency, Commemorative Coins, Medals, U.S. Mint",NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:h4247:82:2010-03-03,Education:Elementary and Secondary Education,NONE,NONE,Education,NONE,NONE,no
111 Congress:h4314:397:2009-12-24,"Labor, Employment, and Immigration:Fair Labor Standards",NONE,NONE,"Labor, Employment, and Immigration",NONE,NONE,no
111 Congress:h4314:988:2009-12-16,"Labor, Employment, and Immigration:Fair Labor Standards",NONE,NONE,"Labor, Employment, and Immigration",NONE,NONE,no
111 Congress:h4380:456:2010-07-21,"Foreign Trade:Tariff and Import Restrictions, Import Regulation",NONE,NONE,Foreign Trade,NONE,NONE,no
111 Congress:h4395:144:2010-03-19,"Public Lands and Water Management:Natural Resources, Public Lands, and Forest Management",NONE,NONE,Public Lands and Water Management,NONE,NONE,no
111 Congress:h44:73:2009-02-23,Defense:Research and Development,NONE,NONE,Defense,NONE,NONE,no
111 Congress:h4438:435:2010-07-13,"Public Lands and Water Management:National Parks, Memorials, Historic Sites, and Recreation",NONE,NONE,Public Lands and Water Management,NONE,NONE,no
111 Congress:h4506:111:2010-03-12,"Law, Crime, and Family Issues:Court Administration",NONE,NONE,"Law, Crime, and Family Issues",NONE,NONE,no
111 Congress:h46:221:2009-04-29,Community Development and Housing Issues:Low and Middle Income Housing Programs and Needs,NONE,NONE,Community Development and Housing Issues,NONE,NONE,no
111 Congress:h4691:31:2010-03-02,NONE,NONE,NONE,NONE,NONE,NONE,no
111 Congress:h4715:207:2010-04-15,Environment:General (includes combinations of multiple subtopics),NONE,NONE,Environment,NONE,NONE,no
111 Congress:h4715:209:2010-04-15,Environment:Species and Forest Protection,NONE,NONE,Environment,NONE,NONE,no
111 Congress:h4785:530:2010-09-16,Energy:Energy Conservation,NONE,NONE,Energy,NONE,NONE,no
111 Congress:h4823:538:2010-09-23,"Public Lands and Water Management:Natural Resources, Public Lands, and Forest Management",NONE,NONE,Public Lands and Water Management,NONE,NONE,no
111 Congress:h4825:127:2010-03-17,Macroeconomics:National Budget and Debt,NONE,NONE,Macroeconomics,NONE,NONE,no
111 Congress:h4849:182:2010-03-24,"Macroeconomics:Taxation, Tax policy, and Tax Reform",NONE,NONE,Macroeconomics,NONE,NONE,no
111 Congress:h4851:107:2010-03-25,"Health:Insurance reform, availability, and cost",NONE,NONE,Health,NONE,NONE,no
111 Congress:h4851:110:2010-04-14,NONE,NONE,NONE,NONE,NONE,NONE,no
111 Congress:h4851:111:2010-04-14,"Labor, Employment, and Immigration:Employee Benefits",NONE,NONE,"Labor, Employment, and Immigration",NONE,NONE,no
111 Congress:h4851:112:2010-04-14,NONE,NONE,NONE,NONE,NONE,NONE,no
111 Congress:h4851:113:2010-04-15,"Labor, Employment, and Immigration:Employee Benefits",NONE,NONE,"Labor, Employment, and Immigration",NONE,NONE,no
111 Congress:h4851:114:2010-04-15,"Labor, Employment, and Immigration:Employee Benefits",NONE,NONE,"Labor, Employment, and Immigration",NONE,NONE,no
111 Congress:h4851:115:2010-04-15,Government Operations:IRS Administration,NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:h4851:211:2010-04-15,"Health:Insurance reform, availability, and cost",NONE,NONE,Health,NONE,NONE,no
111 Congress:h4853:258:2010-12-04,Government Operations:District of Columbia Affairs,NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:h4853:259:2010-12-04,NONE,NONE,NONE,NONE,NONE,NONE,no
111 Congress:h4853:271:2010-12-09,"Macroeconomics:Taxation, Tax policy, and Tax Reform",NONE,NONE,Macroeconomics,NONE,NONE,no
111 Congress:h4853:272:2010-12-13,"Macroeconomics:Taxation, Tax policy, and Tax Reform",NONE,NONE,Macroeconomics,NONE,NONE,no
111 Congress:h4853:275:2010-12-15,"Macroeconomics:Taxation, Tax policy, and Tax Reform",NONE,NONE,Macroeconomics,NONE,NONE,no
111 Congress:h4853:276:2010-12-15,"Macroeconomics:Taxation, Tax policy, and Tax Reform",NONE,NONE,Macroeconomics,NONE,NONE,no
111 Congress:h4853:604:2010-12-02,"Macroeconomics:Taxation, Tax policy, and Tax Reform",NONE,NONE,Macroeconomics,NONE,NONE,no
111 Congress:h4853:646:2010-12-16,"Macroeconomics:Taxation, Tax policy, and Tax Reform",NONE,NONE,Macroeconomics,NONE,NONE,no
111 Congress:h4853:647:2010-12-17,"Macroeconomics:Taxation, Tax policy, and Tax Reform",NONE,NONE,Macroeconomics,NONE,NONE,no
111 Congress:h4855:360:2010-06-15,Macroeconomics:National Budget and Debt,NONE,NONE,Macroeconomics,NONE,NONE,no
111 Congress:h4872:102:2010-03-25,"Health:Facilities construction, regulation, and payments",NONE,NONE,Health,NONE,NONE,no
111 Congress:h4872:103:2010-03-25,"Banking, Finance, and Domestic Commerce:Small Business Issues and the Small Business Administration",NONE,NONE,"Banking, Finance, and Domestic Commerce",NONE,NONE,no
111 Congress:h4872:104:2010-03-25,Health:Comprehensive health care reform,NONE,NONE,Health,NONE,NONE,no
111 Congress:h4872:105:2010-03-25,"Health:Insurance reform, availability, and cost",NONE,NONE,Health,NONE,NONE,no
111 Congress:h4872:63:2010-03-23,"Health:Insurance reform, availability, and cost",NONE,NONE,Health,NONE,NONE,no
111 Congress:h4872:64:2010-03-24,Health:Comprehensive health care reform,NONE,NONE,Health,NONE,NONE,no
111 Congress:h4872:65:2010-03-24,"Law, Crime, and Family Issues:Child Abuse and Child Pornography",NONE,NONE,"Law, Crime, and Family Issues",NONE,NONE,no
111 Congress:h4872:68:2010-03-24,"Health:Insurance reform, availability, and cost",NONE,NONE,Health,NONE,NONE,no
111 Congress:h4872:69:2010-03-24,Health:Health Manpower & Training,NONE,NONE,Health,NONE,NONE,no
111 Congress:h4872:73:2010-03-24,Health:Prescription drug coverage and costs,NONE,NONE,Health,NONE,NONE,no
111 Congress:h4872:74:2010-03-24,"Health:Insurance reform, availability, and cost",NONE,NONE,Health,NONE,NONE,no
111 Congress:h4872:75:2010-03-24,NONE,NONE,NONE,NONE,NONE,NONE,no
111 Congress:h4872:76:2010-03-24,Macroeconomics:National Budget and Debt,NONE,NONE,Macroeconomics,NONE,NONE,no
111 Congress:h4872:77:2010-03-24,"Macroeconomics:Taxation, Tax policy, and Tax Reform",NONE,NONE,Macroeconomics,NONE,NONE,no
111 Congress:h4872:79:2010-03-24,"Health:Regulation of drug industry, medical devices, and clinical labs",NONE,NONE,Health,NONE,NONE,no
111 Congress:h4872:80:2010-03-24,"Health:Regulation of drug industry, medical devices, and clinical labs",NONE,NONE,Health,NONE,NONE,no
111 Congress:h4872:81:2010-03-24,Defense:VA Issues,NONE,NONE,Defense,NONE,NONE,no
111 Congress:h4872:82:2010-03-24,Health:Prescription drug coverage and costs,NONE,NONE,Health,NONE,NONE,no
111 Congress:h4872:83:2010-03-24,Defense:Military Procurement and Weapons System Acquisitions and Evaluation,NONE,NONE,Defense,NONE,NONE,no
111 Congress:h4872:85:2010-03-24,"Health:Facilities construction, regulation, and payments",NONE,NONE,Health,NONE,NONE,no
111 Congress:h4872:88:2010-03-25,"Foreign Trade:Tariff and Import Restrictions, Import Regulation",NONE,NONE,Foreign Trade,NONE,NONE,no
111 Congress:h4872:90:2010-03-25,"Macroeconomics:Taxation, Tax policy, and Tax Reform",NONE,NONE,Macroeconomics,NONE,NONE,no
111 Congress:h4872:91:2010-03-25,"Macroeconomics:Taxation, Tax policy, and Tax Reform",NONE,NONE,Macroeconomics,NONE,NONE,no
111 Congress:h4872:92:2010-03-25,Health:Research and development,NONE,NONE,Health,NONE,NONE,no
111 Congress:h4872:94:2010-03-25,Education:Elementary and Secondary Education,NONE,NONE,Education,NONE,NONE,no
111 Congress:h4872:95:2010-03-25,"Labor, Employment, and Immigration:Immigration and Refugee Issues",NONE,NONE,"Labor, Employment, and Immigration",NONE,NONE,no
111 Congress:h4872:97:2010-03-25,Health:Prescription drug coverage and costs,NONE,NONE,Health,NONE,NONE,no
111 Congress:h4872:98:2010-03-25,"Macroeconomics:Taxation, Tax policy, and Tax Reform",NONE,NONE,Macroeconomics,NONE,NONE,no
111 Congress:h4872:167:2010-03-21,"Health:Insurance reform, availability, and cost",NONE,NONE,Health,NONE,NONE,no
111 Congress:h4872:194:2010-03-25,"Health:Insurance reform, availability, and cost",NONE,NONE,Health,NONE,NONE,no
111 Congress:h4899:165:2010-05-27,"Public Lands and Water Management:Natural Resources, Public Lands, and Forest Management",NONE,NONE,Public Lands and Water Management,NONE,NONE,no
111 Congress:h4899:166:2010-05-27,"Law, Crime, and Family Issues:Juvenile Crime and the Juvenile Justice System",NONE,NONE,"Law, Crime, and Family Issues",NONE,NONE,no
111 Congress:h4899:167:2010-05-27,"Law, Crime, and Family Issues:Executive Branch Agencies Dealing With Law and Crime",NONE,NONE,"Law, Crime, and Family Issues",NONE,NONE,no
111 Congress:h4899:170:2010-05-27,Macroeconomics:National Budget and Debt,NONE,NONE,Macroeconomics,NONE,NONE,no
111 Congress:h4899:173:2010-05-27,Environment:General (includes combinations of multiple subtopics),NONE,NONE,Environment,NONE,NONE,no
111 Congress:h4899:174:2010-05-27,Defense:Military Procurement and Weapons System Acquisitions and Evaluation,NONE,NONE,Defense,NONE,NONE,no
111 Congress:h4899:175:2010-05-27,Defense:Military Procurement and Weapons System Acquisitions and Evaluation,NONE,NONE,Defense,NONE,NONE,no
111 Congress:h4899:219:2010-07-22,"Banking, Finance, and Domestic Commerce:Domestic Disaster Relief",NONE,NONE,"Banking, Finance, and Domestic Commerce",NONE,NONE,no
111 Congress:h4899:186:2010-03-24,"Banking, Finance, and Domestic Commerce:Domestic Disaster Relief",NONE,NONE,"Banking, Finance, and Domestic Commerce",NONE,NONE,no
111 Congress:h4899:430:2010-07-01,"Banking, Finance, and Domestic Commerce:Domestic Disaster Relief",NONE,NONE,"Banking, Finance, and Domestic Commerce",NONE,NONE,no
111 Congress:h4899:431:2010-07-01,"Banking, Finance, and Domestic Commerce:Domestic Disaster Relief",NONE,NONE,"Banking, Finance, and Domestic Commerce",NONE,NONE,no
111 Congress:h4899:432:2010-07-01,"Banking, Finance, and Domestic Commerce:Domestic Disaster Relief",NONE,NONE,"Banking, Finance, and Domestic Commerce",NONE,NONE,no
111 Congress:h4899:433:2010-07-01,"Banking, Finance, and Domestic Commerce:Domestic Disaster Relief",NONE,NONE,"Banking, Finance, and Domestic Commerce",NONE,NONE,no
111 Congress:h4899:474:2010-07-27,"Banking, Finance, and Domestic Commerce:Domestic Disaster Relief",NONE,NONE,"Banking, Finance, and Domestic Commerce",NONE,NONE,no
